"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","padj.BH"
"LOC101116039",245.99192175454,0.616792497871055,0.1756617524194,3.51125096599536,0.000446003125724789,0.00152197386462932,0.00152197386462932
"CIDEC",34.9812083917829,1.61129281523972,0.45900014450255,3.5104407581091,0.000447364480671379,0.00152612242502839,0.00152612242502839
"STIL",1997.25705557046,-0.312991421113543,0.0891600973708152,-3.51044279159787,0.000447361059044525,0.00152612242502839,0.00152612242502839
"IMMP1L",826.670330666716,0.345692190114039,0.0984802248567709,3.51027011378997,0.000447651700444262,0.00152685368400227,0.00152685368400227
"RNASE13",89.217294745722,-1.00553277375687,0.286487512918165,-3.50986597466153,0.000448332613319761,0.00152892729775898,0.00152892729775898
"SOCS5",3750.7272281561,0.210924723378965,0.0601134342682526,3.50877846102962,0.000450169711569499,0.00153494247895386,0.00153494247895386
"ADAM10",7187.70083116974,0.167816368079665,0.0478286370453229,3.50870061215922,0.000450301487996218,0.00153514201764255,0.00153514201764255
"RPF1",3703.90397728224,0.218285005647699,0.062231445113297,3.50763195761073,0.000452114064922804,0.00154107064810057,0.00154107064810057
"NCAPG2",1888.94979657223,-0.316659926902545,0.0902838674664323,-3.50738106140922,0.00045254060328638,0.00154227368392737,0.00154227368392737
"EPRS",10039.5173604663,0.170560299639785,0.0486420545270876,3.50643699773832,0.000454148934628294,0.00154735515724842,0.00154735515724842
"BTNL9",4.87916117089074,5.89738081800407,1.68188128196654,3.50641919928412,0.000454179307703524,0.00154735515724842,0.00154735515724842
"RNF111",2879.40650774221,0.257719265819026,0.0735003711370545,3.50636686362389,0.00045426862952868,0.00154740789993547,0.00154740789993547
"CRACR2A",327.66859350276,0.543212214510153,0.154943435433605,3.50587434046489,0.000455110027437088,0.00155002205996613,0.00155002205996613
"LOC105605752",145.948905182139,-0.7575747389772,0.216096517277729,-3.50572396316576,0.00045536721292155,0.00155039403963997,0.00155039403963997
"KCNH5",58.0826558238543,1.37451192456159,0.392075868004139,3.5057294690401,0.000455357794009336,0.00155039403963997,0.00155039403963997
"MSANTD2",673.833596770188,0.365525510734398,0.104279796044663,3.50523806718843,0.000456199152674678,0.00155297424357546,0.00155297424357546
"POP7",231.890336350705,-0.656439724259029,0.187312866317317,-3.50450952550685,0.000457449202701985,0.00155697669186662,0.00155697669186662
"NOVA1",3636.2673771473,-0.270923987656394,0.0773163276164429,-3.50409798303427,0.000458156749542984,0.00155913167317681,0.00155913167317681
"PAPLN",31.5779967701361,1.78099401844368,0.508286554061106,3.5039172376564,0.000458467819728551,0.00155993694272309,0.00155993694272309
"NAA16",1618.7618884987,-0.286396423067983,0.0817821760907733,-3.5019418259316,0.000461880455517565,0.00157129331588086,0.00157129331588086
"LRCH1",862.920574560981,0.364175505344971,0.103996980099267,3.50178923462351,0.000462145049365148,0.00157193826562182,0.00157193826562182
"LOC105602034",1821.55528074595,-0.277175935517822,0.0791711529664093,-3.50097131508774,0.000463565737010067,0.001576514700549,0.001576514700549
"TRPC5",45.2580037562914,1.42283816509158,0.406446951420619,3.50067372905236,0.000464083640120918,0.00157776391342861,0.00157776391342861
"LOC105611784",154.092786037519,-0.796264367353289,0.227459740363734,-3.50068265302673,0.000464068101455935,0.00157776391342861,0.00157776391342861
"RERE",3868.88241139564,0.212236762449785,0.0606295943473527,3.50054729434376,0.000464303843813621,0.00157800054345738,0.00157800054345738
"ALDH1L2",2296.85883813027,-0.294523542723334,0.0841361687775424,-3.50055804777681,0.000464285111416668,0.00157800054345738,0.00157800054345738
"PFN4",97.3805016525357,-0.94078251623358,0.268772192012896,-3.50029707012413,0.000464739931624071,0.00157922652944933,0.00157922652944933
"LOC105614765",11902.0726106103,0.229828530848498,0.0656676122188051,3.4998764700429,0.000465473809597892,0.00158146387061177,0.00158146387061177
"CTNND1",7669.3757839157,-0.196943571577525,0.0562833977417787,-3.49914147829308,0.00046675884548385,0.00158557276154313,0.00158557276154313
"HCFC2",1656.53533143118,0.263129069249155,0.0752236890926589,3.49795486532225,0.000468840468605625,0.00159238587683946,0.00159238587683946
"LOC106991526",19.2884712679145,2.33335004814286,0.667243927421282,3.49699705347732,0.000470527029341877,0.00159785519800492,0.00159785519800492
"LOC101114265",110.39876595899,-0.921323044231399,0.263494871315327,-3.49655019709603,0.000471315810072961,0.00160027448410385,0.00160027448410385
"ACP2",519.658854024402,-0.445495509746188,0.127431713905193,-3.49595478310548,0.00047236873824897,0.0016035897098243,0.0016035897098243
"AHI1",2518.3549645494,0.256798247316376,0.0734661960488225,3.49546132953064,0.000473243022378518,0.00160629750193784,0.00160629750193784
