##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR21623193_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	55419239
Total Bases	7.6 Gbp
Sequences flagged as poor quality	0
Sequence length	92-141
%GC	44
>>END_MODULE
1109	45-49	-0.09105015187940069
1109	50-54	-0.05314724886840594
1109	55-59	-0.03918993023142292
1109	60-64	-0.05567959558423752
1109	65-69	-0.0723560161545791
1109	70-74	-0.09809680157364653
1109	75-79	-0.10360333226270768
1109	80-84	-0.056086514478217
1109	85-89	-0.10457769310899323
1109	90-94	-0.11823642415642155
1109	95-99	-0.07403834501505457
1109	100-104	-0.14133539475581358
1109	105-109	-0.1125602418154017
1109	110-114	-0.11381417838475727
1109	115-119	-0.0744318195565512
1109	120-124	-0.04907367143745489
1109	125-129	-0.11431545948209276
1109	130-134	-0.14101991464213626
1109	135-139	-0.10541377816243624
1109	140-141	-0.14383520134705208
1110	1	0.043730965509659825
1110	2	0.005000805614741921
1110	3	0.021289656308397298
1110	4	-0.08047438170870436
1110	5	-0.03028023113051148
1110	6	0.029677060585775905
1110	7	-0.016183367431395368
1110	8	-0.11616742523663248
1110	9	-0.03785043691497236
1110	10-14	-0.01747796904717802
1110	15-19	0.006323575471888887
1110	20-24	-0.018112091563942556
1110	25-29	-0.04199429256525633
1110	30-34	-0.03694463124146807
1110	35-39	-0.037776031076788286
1110	40-44	-0.07287366845814347
1110	45-49	-0.06275701027187353
1110	50-54	-0.0690058378797147
1110	55-59	-0.036648680532650246
1110	60-64	-0.031064235194364187
1110	65-69	-0.06636500688630775
1110	70-74	-0.10346398779292088
1110	75-79	-0.13838236423640637
1110	80-84	-0.05325259219486611
1110	85-89	-0.0956667290221489
1110	90-94	-0.08443004249080133
1110	95-99	-0.10737142791879961
1110	100-104	-0.16552620336901214
1110	105-109	-0.09645623602824571
1110	110-114	-0.07177549516741522
1110	115-119	-0.13597852193700533
1110	120-124	-0.07767036114680792
1110	125-129	-0.10122055914097672
1110	130-134	-0.14527507559849084
1110	135-139	-0.17120381500061654
1110	140-141	-0.09149937200653113
1111	1	0.051017702652750074
1111	2	0.06889009465693618
1111	3	-0.033015646862544656
1111	4	0.023433536230598406
